iter	Logloss
0	0.692883143
1	0.6926184428
2	0.6923178041
3	0.6919971708
4	0.6917330748
5	0.6914155172
6	0.691142864
7	0.6908920144
8	0.6906022036
9	0.69031002
10	0.6899980745
11	0.6897031348
12	0.6894601572
13	0.6891782679
14	0.6888674954
15	0.6885731627
16	0.688298765
17	0.6880146372
18	0.6877247182
19	0.6874459539
20	0.687172434
21	0.6869044117
22	0.6866428258
23	0.6863298071
24	0.6860129922
25	0.6857367515
26	0.6854652996
27	0.6852028856
28	0.684895888
29	0.6846414615
30	0.6843471514
31	0.684055975
32	0.6837561631
33	0.6834647116
34	0.6831688277
35	0.6828467426
36	0.6825684425
37	0.6822873948
38	0.682008151
39	0.6817529758
40	0.6814567827
41	0.681201
42	0.680892265
43	0.680615342
44	0.6803039124
45	0.6800398749
46	0.679731003
47	0.6794481849
48	0.6791644077
49	0.6788793544
50	0.6786281508
51	0.6783858106
52	0.6781275545
53	0.6777825971
54	0.6775085671
55	0.6772534047
56	0.6770048263
57	0.6767374759
58	0.6764531515
59	0.6761499552
60	0.6759109647
61	0.6756657212
62	0.6753699386
63	0.6751083527
64	0.6747642263
65	0.6744691829
66	0.6741872999
67	0.6738884769
68	0.6735986792
69	0.6733469927
70	0.673070633
71	0.6727924042
72	0.6725403337
73	0.6722298271
74	0.6719490053
75	0.6716938217
76	0.6714147449
77	0.6711483763
78	0.6708598708
79	0.6706106139
80	0.6703371213
81	0.6700161052
82	0.6697329266
83	0.6694682721
84	0.6692065491
85	0.6689293467
86	0.6686810021
87	0.6683723607
88	0.6680810985
89	0.6678173993
90	0.66755933
91	0.6672813467
92	0.6670547114
93	0.6667851056
